key_resp1.keys,key_resp1.rt,participant,session,group,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_10.keys,key_resp_10.rt,key_ressp2.keys,key_ressp2.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp1_2.keys,key_resp1_2.rt,key_resp1_3.keys,key_resp1_3.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_18.keys,key_resp_18.rt,key_resp_7.keys,key_resp_7.rt,key_resp1_4.keys,key_resp1_4.rt,syllable_catch.keys,syllable_catch.rt,key_resp_16.keys,audio1.thisRepN,audio1.thisTrialN,audio1.thisN,audio1.thisIndex,audio1.ran,dirs,timeA,timeB,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,Conj_unsync_online.thisRepN,Conj_unsync_online.thisTrialN,Conj_unsync_online.thisN,Conj_unsync_online.thisIndex,Conj_unsync_online.ran,condA,condB,ord,colour,key_resp_16.rt,key_resp4.keys,key_resp4.rt,key_resp_4.keys,key_resp_4.rt,key_resp_17.keys,key_resp_17.rt,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,security_1_7.rt,Conj_unsync_test.thisRepN,Conj_unsync_test.thisTrialN,Conj_unsync_test.thisN,Conj_unsync_test.thisIndex,Conj_unsync_test.ran,test,key_resp_13.keys,key_resp_13.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,seq,online_dir,test_dir,audio_offline
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Online_conjL1_un//c.ro.fo8.none.none.wav,none,none,ni,cho,ri,sil,ta,la,ze,sil1,be,zu,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9171,,0,1,1,1,1,Online_conjL1_un//c.ro.fo9.1332.444.wav,1332,444,ri,ze,fo,sil,pu,fa,ro,sil1,ki,ne,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,Online_conjL1_un//c.ro.fo10.none.none.wav,none,none,ta,zu,cho,sil,be,ze,la,sil1,ne,lu,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,1.4854,,0,3,3,3,1,Online_conjL1_un//c.ro.fo11.none.none.wav,none,none,ta,lu,la,sil,be,fa,ne,sil1,ze,ni,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,23,1,ro,fo,72:76,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4892,,0,0,0,3,1,Online_conjL1_un//a.pu.ki23.0.888.wav,888,0,pu,la,ze,sil,ki,cho,fo,sil1,ne,zu,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,Online_conjL1_un//a.pu.ki20.none.none.wav,none,none,ta,ni,ze,sil,be,ri,ne,sil1,cho,fo,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3358,,0,2,2,1,1,Online_conjL1_un//a.pu.ki21.888.1776.wav,1776,888,zu,ri,ni,sil,pu,lu,fa,sil1,ki,ro,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,1.4044,,0,3,3,2,1,Online_conjL1_un//a.pu.ki22.888.1776.wav,1776,888,la,ze,zu,sil,pu,ne,cho,sil1,ki,ri,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,1,1,ki,pu,20:24,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
