,participant,condition,expName,group,age,sex,hand,education_level,block,language,BMRQ_score,music_exp,n_lang,n_lang_used,ability_learn_l2,tendence_mix_lan,partiture,music_use,meanRTs,syllable,info_index
116,s158,B,Experiment4_uns,A,24.0,feminino,right,Bachelor degree,4,L2,74.0,no,3.0,2.0,3.0,4.0,yes,no,-0.03188888888881958,C,1
117,s158,B,Experiment4_uns,A,24.0,feminino,right,Bachelor degree,4,L2,74.0,no,3.0,2.0,3.0,4.0,yes,no,-0.010174603174560981,A,1
118,s159,B,Experiment4_uns,A,24.0,feminino,right,Upper secondary,2,L2,82.0,yes,3.0,2.0,3.0,0.0,yes,no,-0.09161538461591956,C,1
119,s159,B,Experiment4_uns,A,24.0,feminino,right,Upper secondary,2,L2,82.0,yes,3.0,2.0,3.0,0.0,yes,no,-0.06942142858272038,A,1
120,s16,B,Unsyncopated1,B,23.0,masculino,right,Upper secondary,3,L3,62.0,no,3.0,2.0,4.0,3.0,no,no,0.021305555539020804,C,1
121,s16,B,Unsyncopated1,B,23.0,masculino,right,Upper secondary,3,L3,62.0,no,3.0,2.0,4.0,3.0,no,no,0.02885000000730631,A,1
122,s160,B,Experiment4_uns,A,23.0,feminino,right,Upper secondary,2,L2,73.0,yes,3.0,2.0,4.0,5.0,yes,yes,-0.04832053571275963,C,1
123,s160,B,Experiment4_uns,A,23.0,feminino,right,Upper secondary,2,L2,73.0,yes,3.0,2.0,4.0,5.0,yes,yes,-0.03984285714349056,A,1
124,s162,B,Experiment4_uns,A,21.0,feminino,right,Bachelor degree,3,L2,61.0,yes,3.0,2.0,4.0,3.0,yes,no,-0.049376143791719285,A,1
125,s162,B,Experiment4_uns,A,21.0,feminino,right,Bachelor degree,3,L2,61.0,yes,3.0,2.0,4.0,3.0,yes,no,-0.02839888888975839,C,1
126,s163,B,Experiment4_uns,A,23.0,feminino,right,Other,4,L2,76.0,yes,3.0,3.0,4.0,4.0,yes,yes,-0.01645499994762134,C,1
127,s163,B,Experiment4_uns,A,23.0,feminino,right,Other,4,L2,76.0,yes,3.0,3.0,4.0,4.0,yes,yes,0.057170000082171435,A,1
128,s164,B,Experiment4_uns,A,20.0,feminino,right,Bachelor degree,4,L2,69.0,yes,3.0,3.0,4.0,4.0,no,no,-0.1146433333321335,A,1
129,s164,B,Experiment4_uns,A,20.0,feminino,right,Bachelor degree,4,L2,69.0,yes,3.0,3.0,4.0,4.0,no,no,0.006906666659974636,C,1
130,s165,B,Experiment4_uns,A,23.0,feminino,right,Bachelor degree,4,L2,62.0,yes,3.0,3.0,4.0,5.0,yes,no,-0.031477777732781376,A,1
131,s165,B,Experiment4_uns,A,23.0,feminino,right,Bachelor degree,4,L2,62.0,yes,3.0,3.0,4.0,5.0,yes,no,0.046291111111727345,C,1
132,s166,B,Experiment4_uns,A,26.0,feminino,right,Doctorate,2,L2,61.0,no,4.0,3.0,4.0,5.0,yes,no,-0.05963875001226149,C,1
133,s166,B,Experiment4_uns,A,26.0,feminino,right,Doctorate,2,L2,61.0,no,4.0,3.0,4.0,5.0,yes,no,-0.04294166669250232,A,1
134,s167,B,Experiment4_uns,B,19.0,feminino,right,Upper secondary,4,L2,72.0,yes,3.0,3.0,4.0,5.0,yes,yes,-0.03761209149779143,C,1
135,s167,B,Experiment4_uns,B,19.0,feminino,right,Upper secondary,4,L2,72.0,yes,3.0,3.0,4.0,5.0,yes,yes,-0.029251587332307816,A,1
136,s168,B,Experiment4_uns,B,30.0,masculino,right,Other,2,L2,65.0,no,2.0,1.0,4.0,2.0,no,no,0.013175000001003578,A,1
137,s168,B,Experiment4_uns,B,30.0,masculino,right,Other,2,L2,65.0,no,2.0,1.0,4.0,2.0,no,no,0.013996666656964418,C,1
138,s169,B,Experiment4_uns,B,21.0,feminino,left,Bachelor degree,3,L2,72.0,yes,4.0,2.0,4.0,5.0,yes,no,-0.014145238092488244,A,1
139,s169,B,Experiment4_uns,B,21.0,feminino,left,Bachelor degree,3,L2,72.0,yes,4.0,2.0,4.0,5.0,yes,no,0.02777179487806114,C,1
140,s17,B,Unsyncopated1,B,27.0,masculino,right,Master degree,2,L3,66.0,yes,3.0,2.0,5.0,4.0,no,no,0.013921710514777752,C,1
141,s17,B,Unsyncopated1,B,27.0,masculino,right,Master degree,2,L3,66.0,yes,3.0,2.0,5.0,4.0,no,no,0.0992242105977898,A,1
142,s170,B,Experiment4_uns,B,22.0,feminino,right,Upper secondary,3,L2,63.0,yes,3.0,2.0,3.0,3.0,no,no,-0.053736309524672454,A,1
143,s170,B,Experiment4_uns,B,22.0,feminino,right,Upper secondary,3,L2,63.0,yes,3.0,2.0,3.0,3.0,no,no,-0.003200280112935383,C,1
144,s171,B,Experiment4_uns,B,18.0,masculino,both,Upper secondary,4,L2,65.0,yes,3.0,2.0,4.0,3.0,yes,no,0.08540966386462934,C,1
145,s171,B,Experiment4_uns,B,18.0,masculino,both,Upper secondary,4,L2,65.0,yes,3.0,2.0,4.0,3.0,yes,no,0.1601025210079141,A,1
146,s172,B,Experiment4_uns,B,23.0,feminino,right,Master degree,1,L2,73.0,yes,3.0,2.0,4.0,5.0,yes,no,-0.1605133689839494,A,1
147,s172,B,Experiment4_uns,B,23.0,feminino,right,Master degree,1,L2,73.0,yes,3.0,2.0,4.0,5.0,yes,no,-0.0727486631016061,C,1
148,s173,B,Experiment4_uns,B,29.0,feminino,right,Bachelor degree,2,L2,68.0,yes,3.0,2.0,4.0,4.0,yes,yes,-0.07820833333333976,A,1
149,s173,B,Experiment4_uns,B,29.0,feminino,right,Bachelor degree,2,L2,68.0,yes,3.0,2.0,4.0,4.0,yes,yes,0.003825641025551274,C,1
150,s174,B,Experiment4_uns,B,24.0,feminino,right,Bachelor degree,2,L2,53.0,no,5.0,3.0,3.0,3.0,no,no,-0.10132380952515263,A,1
151,s174,B,Experiment4_uns,B,24.0,feminino,right,Bachelor degree,2,L2,53.0,no,5.0,3.0,3.0,3.0,no,no,-0.035275757578245415,C,1
152,s175,B,Experiment4_uns,B,33.0,masculino,right,Master degree,1,L2,67.0,no,3.0,2.0,3.0,2.0,no,no,-0.16910476190167156,C,1
153,s175,B,Experiment4_uns,B,33.0,masculino,right,Master degree,1,L2,67.0,no,3.0,2.0,3.0,2.0,no,no,-0.08055386904745643,A,1
154,s176,B,Experiment4_uns,B,27.0,feminino,right,Master degree,2,L2,63.0,yes,3.0,3.0,3.0,1.0,no,no,-0.13046203007535317,C,1
155,s176,B,Experiment4_uns,B,27.0,feminino,right,Master degree,2,L2,63.0,yes,3.0,3.0,3.0,1.0,no,no,-0.09027177033495581,A,1
156,s177,B,Experiment4_uns,B,22.0,masculino,left,Bachelor degree,2,L2,36.0,yes,4.0,3.0,5.0,4.0,no,no,-0.10383750000406422,A,1
157,s177,B,Experiment4_uns,B,22.0,masculino,left,Bachelor degree,2,L2,36.0,yes,4.0,3.0,5.0,4.0,no,no,-0.08694375000145615,C,1
158,s178,B,Experiment4_uns,B,18.0,masculino,right,Upper secondary,4,L2,64.0,yes,4.0,3.0,4.0,2.0,no,no,-0.02703267973853285,A,1
159,s178,B,Experiment4_uns,B,18.0,masculino,right,Upper secondary,4,L2,64.0,yes,4.0,3.0,4.0,2.0,no,no,0.005868055555546481,C,1
160,s18,B,Unsyncopated1,B,30.0,masculino,right,Bachelor degree,3,L3,78.0,yes,3.0,3.0,4.0,4.0,no,yes,-0.08363692307706283,A,1
161,s18,B,Unsyncopated1,B,30.0,masculino,right,Bachelor degree,3,L3,78.0,yes,3.0,3.0,4.0,4.0,no,yes,0.0047066666665508405,C,1
162,s180,B,Experiment4_uns,B,24.0,masculino,right,Bachelor degree,1,L2,72.0,yes,2.0,2.0,2.0,3.0,no,no,-0.15182941176470166,A,1
163,s180,B,Experiment4_uns,B,24.0,masculino,right,Bachelor degree,1,L2,72.0,yes,2.0,2.0,2.0,3.0,no,no,-0.0734111111110779,C,1
