Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
274,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s2,r2,18,Online_whatL3//a.chu.mo8.none.none.wav,je,ji,li,sil2,ñe,ga,do,sil,sa,ko,sil1,['-'],,,none,none,,,,mo,2,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
275,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s1,r2,19,Online_whatL3//a.chu.mo9.none.none.wav,ñe,ga,gu,sil2,sa,je,ko,sil,le,ka,sil1,['-'],,,none,none,,,,mo,2,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
276,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s2,r1,20,Online_whatL3//d.ji.li11.none.none.wav,fu,di,ka,sil2,chu,do,je,sil,mo,le,sil1,['-'],,,none,none,,,,ji,4,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
277,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s2,r1,21,Online_whatL3//d.ji.li9.1554.444.wav,fu,ga,li,sil2,chu,gu,ji,sil,mo,do,sil1,['catch'],[2.156500000000051],[2.156500000000051],1.554,no_beat,0.6025000000000509,0.6025000000000509,"[""space""]",ji,4,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
278,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s2,r2,22,Online_whatL3//d.ji.li10.444.0.wav,li,le,ji,sil,ñe,do,di,sil1,sa,ga,sil2,['catch'],[1.0211000000240347],[1.0211000000240347],0.444,no_beat,0.5771000000240347,0.5771000000240347,"[""space""]",ji,4,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
279,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s2,r1,23,Online_whatL3//d.ji.li8.none.none.wav,di,ko,do,sil,chu,ga,le,sil2,mo,je,sil1,['-'],,,none,none,,,,ji,4,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
280,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s1,r2,24,Online_whatL3//d.ji.li25.none.none.wav,ñe,gu,ko,sil2,sa,ka,le,sil,do,ga,sil1,['-'],,,none,none,,,,ji,4,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
281,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s1,r1,25,Online_whatL3//d.ji.li24.1332.1554.wav,chu,di,ko,sil2,mo,ji,li,sil,do,gu,sil1,['catch'],[1.7808999999761],[1.7808999999761],1.332,no_beat,0.4488999999760998,0.4488999999760998,"[""space""]",ji,4,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
282,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s2,r1,26,Online_whatL3//d.ji.li27.222.1110.wav,gu,ji,do,sil,chu,li,ga,sil1,mo,fu,sil2,['miss'],,,0.222,no_beat,,,,ji,4,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
283,2024-01-16_09h55.46.063,Unsyncopated_study2,s89,21.0,feminino,right,España,CatalanCastellano,Upper secondary,no,no,A,3,what,L3,unsyncopated,s1,r1,27,Online_whatL3//d.ji.li26.none.none.wav,chu,gu,je,sil,mo,di,do,sil1,ka,ga,sil2,['-'],,,none,none,,,,ji,4,,,,,,,,,,,,,,,3.0,3.0,Catalan,0.0,Castellano,0.0,Ingles,5.0,Aleman,18.0,4.0,1.0,no,no,no,nada,,,,nada,74.0,yes
