Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,lang_5,age_l5,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
147,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,2,conjunction_un,L3,unsyncopated,s2,r2,19,Online_conjL3_un//c.gu.je23.1332.444.wav,fu,ji,je,sil,ñe,ka,gu,sil1,sa,li,sil2,['catch'],[0.8239999999998417],[0.8239999999998417],0.444,no_beat,0.3799999999998417,0.3799999999998417,"[""space""]",je,3,,,,,,,,,,,,,,,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,,,Nada,68.0,yes
148,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,2,conjunction_un,L3,unsyncopated,s1,r1,20,Online_conjL3_un//d.ji.li17.none.none.wav,chu,je,gu,sil,mo,do,ko,sil1,ga,le,sil2,['-'],,,none,none,,,,li,4,,,,,,,,,,,,,,,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,,,Nada,68.0,yes
149,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,2,conjunction_un,L3,unsyncopated,s2,r2,21,Online_conjL3_un//d.ji.li19.none.none.wav,gu,ga,di,sil,ñe,do,ka,sil1,sa,ko,sil2,['false alarm'],[1.356999999999971],[1.356999999999971],none,none,,,"[""space""]",li,4,,,,,,,,,,,,,,,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,,,Nada,68.0,yes
150,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,2,conjunction_un,L3,unsyncopated,s2,r2,22,Online_conjL3_un//d.ji.li16.none.none.wav,di,gu,je,sil,ñe,ga,ko,sil1,sa,ka,sil2,['false alarm'],[0.6670000000001437],[0.6670000000001437],none,none,,,"[""space""]",li,4,,,,,,,,,,,,,,,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,,,Nada,68.0,yes
151,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,2,conjunction_un,L3,unsyncopated,s2,r2,23,Online_conjL3_un//d.ji.li18.1332.444.wav,ka,le,li,sil,ñe,gu,ji,sil1,sa,ko,sil2,['catch'],[0.9429999999999836],[0.9429999999999836],0.444,no_beat,0.4989999999999836,0.4989999999999836,"[""space""]",li,4,,,,,,,,,,,,,,,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,,,Nada,68.0,yes
152,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,2,conjunction_un,L3,unsyncopated,s2,r1,24,Online_conjL3_un//a.chu.mo29.888.1776.wav,li,ji,ko,sil,chu,gu,do,sil1,mo,je,sil2,['catch'],[1.3419999999998709],[1.3419999999998709],0.888,beat,0.4539999999998708,0.4539999999998708,"[""space""]",chu,1,,,,,,,,,,,,,,,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,,,Nada,68.0,yes
153,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,2,conjunction_un,L3,unsyncopated,s2,r1,25,Online_conjL3_un//a.chu.mo31.888.1776.wav,fu,je,ji,sil,chu,le,ko,sil1,mo,gu,sil2,['catch'],[1.7000000000000455],[1.7000000000000455],0.888,beat,0.8120000000000455,0.8120000000000455,"[""space""]",chu,1,,,,,,,,,,,,,,,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,,,Nada,68.0,yes
154,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,2,conjunction_un,L3,unsyncopated,s1,r1,26,Online_conjL3_un//a.chu.mo28.0.888.wav,chu,fu,di,sil,mo,do,li,sil1,ji,ka,sil2,['catch'],[0.9209999999998217],[0.9209999999998217],0.0,beat,0.9209999999998216,0.9209999999998216,"[""space""]",chu,1,,,,,,,,,,,,,,,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,,,Nada,68.0,yes
155,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,2,conjunction_un,L3,unsyncopated,s2,r2,27,Online_conjL3_un//a.chu.mo30.none.none.wav,ji,ga,ka,sil,ñe,fu,li,sil1,sa,do,sil2,['-'],,,none,none,,,,chu,1,,,,,,,,,,,,,,,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,,,Nada,68.0,yes
156,2024-03-03_11h21.38.857,Unsyncopated_study3,s135,20.0,feminino,right,Espanya,CatalàCastellàAlemany,Bachelor degree,no,no,B,2,conjunction_un,L3,unsyncopated,s1,r2,28,Online_conjL3_un//c.gu.je11.none.none.wav,ñe,li,ji,sil,sa,fu,di,sil1,ko,do,sil2,['-'],,,none,none,,,,je,3,,,,,,,,,,,,,,,5.0,4.0,Català,0.0,Castellà,0.0,Alemany,1.0,Anglès,7.0,Francès,19.0,5.0,4.0,yes,no,yes,Guitarra,7,,,Nada,68.0,yes
