Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
448,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r1,56,Online_conjL3_syn//a.chu.mo0.0.666.wav,chu,do,ji,mo,sil,ka,ko,di,sil1,li,sil2,['catch'],[1.2280999999047708],[1.2280999999047708],0.666,no_beat,0.5620999999047708,0.5620999999047708,"[""space""]",mo,2,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
449,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r1,57,Online_conjL3_syn//a.chu.mo3.0.666.wav,chu,li,do,mo,sil,je,ji,fu,sil1,ga,sil2,['catch'],[1.2605999999045707],[1.2605999999045707],0.666,no_beat,0.5945999999045707,0.5945999999045707,"[""space""]",mo,2,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
450,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r2,58,Online_conjL3_syn//a.chu.mo1.none.none.wav,ñe,le,ko,sa,sil,gu,do,di,sil1,ka,sil2,['-'],,,none,none,,,,mo,2,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
451,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s2,r1,59,Online_conjL3_syn//a.chu.mo2.666.1554.wav,ka,ko,fu,chu,sil,le,je,mo,sil1,gu,sil2,['catch'],[2.203400000095371],[2.203400000095371],1.554,no_beat,0.649400000095371,0.649400000095371,"[""space""]",mo,2,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
452,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s2,r2,60,Online_conjL3_syn//b.ñe.sa29.666.1554.wav,je,do,ga,ñe,sil,li,ka,sa,sil1,gu,sil2,['catch'],[1.5561999998094507],[1.5561999998094507],0.666,no_beat,0.8901999998094506,0.8901999998094506,"[""space""]",ñe,1,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
453,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r1,61,Online_conjL3_syn//b.ñe.sa28.none.none.wav,chu,ji,ga,mo,sil,fu,ka,di,sil1,gu,sil2,['-'],,,none,none,,,,ñe,1,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
454,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r1,62,Online_conjL3_syn//b.ñe.sa31.none.none.wav,chu,fu,gu,mo,sil,le,ji,di,sil1,ka,sil2,['-'],,,none,none,,,,ñe,1,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
455,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r1,63,Online_conjL3_syn//b.ñe.sa30.none.none.wav,chu,ka,ji,mo,sil,je,gu,do,sil1,li,sil2,['-'],,,none,none,,,,ñe,1,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
456,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r1,64,Online_conjL3_syn//d.ji.li1.1554.444.wav,chu,gu,li,mo,sil,ga,je,ji,sil1,do,sil2,['catch'],[2.196099999904618],[2.196099999904618],1.554,no_beat,0.642099999904618,0.642099999904618,"[""space""]",ji,4,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
457,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s2,r2,65,Online_conjL3_syn//d.ji.li2.1332.0.wav,li,fu,di,ñe,sil,gu,ji,sa,sil1,ko,sil2,['miss'],,,1.332,no_beat,,,,ji,4,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
