Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,instr_4,age_M4,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
102,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s2,r2,102,Online_conjL1_syn//b.ta.be26.666.1554.wav,cho,lu,la,ta,sil,fo,ro,be,sil1,zu,sil2,['catch'],[1.4110000000000582],[1.4110000000000582],0.666,no_beat,0.7450000000000582,0.7450000000000582,"[""space""]",ta,1,,,,,,,,,,,,,,,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,,, nada ,78.0,yes
103,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r2,103,Online_conjL1_syn//b.ta.be25.0.666.wav,ta,ri,ze,be,sil,ni,cho,lu,sil1,ne,sil2,"['catch', 'false alarm']","[0.29799999999886495, 2.0019999999985885]",[0.29799999999886495],0.0,beat,0.2979999999988649,0.2979999999988649,"[""space"",""space""]",ta,1,,,,,,,,,,,,,,,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,,, nada ,78.0,yes
104,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r1,104,Online_conjL1_syn//b.ta.be29.none.none.wav,pu,ro,fa,ki,sil,zu,ni,la,sil1,ze,sil2,['-'],,,none,none,,,,ta,1,,,,,,,,,,,,,,,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,,, nada ,78.0,yes
105,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r2,105,Online_conjL1_syn//b.ta.be28.0.666.wav,ta,fa,la,be,sil,zu,fo,ze,sil1,ro,sil2,['catch'],[0.4219999999986612],[0.4219999999986612],0.0,beat,0.4219999999986612,0.4219999999986612,"[""space""]",ta,1,,,,,,,,,,,,,,,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,,, nada ,78.0,yes
106,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r2,106,Online_conjL1_syn//b.ta.be31.0.666.wav,ta,fo,cho,be,sil,lu,ri,zu,sil1,la,sil2,['miss'],,,0.0,beat,,,,ta,1,,,,,,,,,,,,,,,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,,, nada ,78.0,yes
107,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s2,r1,107,Online_conjL1_syn//b.ta.be30.none.none.wav,la,fo,fa,pu,sil,ro,ri,ki,sil1,ze,sil2,['-'],,,none,none,,,,ta,1,,,,,,,,,,,,,,,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,,, nada ,78.0,yes
108,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s2,r2,108,Online_conjL1_syn//c.ro.fo14.none.none.wav,fa,zu,ri,ta,sil,la,ni,be,sil1,ne,sil2,['false alarm'],[0.9320000000006985],[0.9320000000006985],none,none,,,"[""space""]",ro,3,,,,,,,,,,,,,,,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,,, nada ,78.0,yes
109,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r1,109,Online_conjL1_syn//c.ro.fo15.none.none.wav,pu,ri,ze,ki,sil,lu,ne,la,sil1,cho,sil2,['-'],,,none,none,,,,ro,3,,,,,,,,,,,,,,,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,,, nada ,78.0,yes
110,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s1,r1,110,Online_conjL1_syn//c.ro.fo13.1554.222.wav,pu,fo,fa,ki,sil,ni,cho,ro,sil1,ze,sil2,['catch'],[1.9789999999993597],[1.9789999999993597],1.554,no_beat,0.4249999999993596,0.4249999999993596,"[""space""]",ro,3,,,,,,,,,,,,,,,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,,, nada ,78.0,yes
111,2023-12-30_16h55.09.293,Unsyncopated_study2,s86,25.0,masculino,right, españa,catalàcastellano,Master degree,no,no,A,1,conjunction_syn,L1,syncopated,s2,r2,111,Online_conjL1_syn//c.ro.fo12.1332.444.wav,fa,zu,fo,ta,sil,cho,ro,be,sil1,ne,sil2,['catch'],[1.8669999999983702],[1.8669999999983702],1.332,no_beat,0.5349999999983701,0.5349999999983701,"[""space""]",ro,3,,,,,,,,,,,,,,,3.0,3.0,catala,0.0,castellano,0.0,ingles,8.0,3.0,3.0,yes,yes,yes,canto,5,flauta travesera,5,guitarra electrica,5,guitarra española,11.0,,, nada ,78.0,yes
